 1|01,01 
 2|01,02 
 3|01,03 
 4|01,04 
 0|02,   
 0|03,   
 0|04,   
 0|05,   
 0|06,   
 0|07,   
 0|08,   
 0|09,   
 0|10,   
 0|11,   
 0|12,   
 0|13,   
 0|14,   
 0|15,   
 5|02,00 
 6|02,01 
 7|02,02 
 8|02,03 
 9|02,04 
10|02,05 
11|03,00 
12|03,01 
13|03,02 
14|04,00 
15|04,01 
16|04,02 
17|05,00 
18|05,01 
19|05,02 
20|05,03 
21|06,00 
22|06,01 
23|06,02 
24|07,00 
25|07,01 
26|07,02 
27|07,03 
28|08,00 
29|08,01 
30|08,02 
31|09,00 
32|09,01 
33|10,00 
34|10,01 
35|10,02 
36|10,03 
37|11,00 
38|11,01 
39|11,02 
40|11,03 
41|11,04 
42|11,05 
43|12,00 
44|12,01 
45|12,02 
46|12,03 
47|13,00 
48|13,01 
49|13,02 
50|13,03 
51|13,04 
52|14,00 
53|14,01 
54|14,02 
55|15,00 
56|15,01 
57|15,02 
58|15,03 
59|01,05 
